icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
H91.93,"Unspecified hearing loss, bilateral",569,,ICD-10-CM,Diseases of the ear and mastoid process (H60-H95),Other disorders of ear (H90-H94),Other and unspecified hearing loss
W44.F3XA,Food impaction of esophagus,568,,ICD-10-CM,,,
K86.3,Pseudocyst of pancreas,568,,ICD-10-CM,Diseases of the digestive system (K00-K95),"Disorders of gallbladder, biliary tract and pancreas (K80-K87)",Other diseases of pancreas
Y93.89,"Activity, other specified",566,,ICD-10-CM,External causes of morbidity (V00-Y99),Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99),Activity codes
S52.599A,Other closed fractures of distal end of radius (alone),565,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the elbow and forearm (S50-S59),Fracture of forearm
Z90.13,Acquired absence of bilateral breasts and nipples,565,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Acquired absence of organs, not elsewhere classified"
Z45.018,Encounter for adjustment and management of other part of cardiac pacemaker,564,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),Encounter for adjustment and management of implanted device
G40.919,"Epilepsy, unspecified, intractable, without status epilepticus (CMS code)",564,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Epilepsy and recurrent seizures
B95.5,Unspecified streptococcus as the cause of diseases classified elsewhere,563,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Bacterial and viral infectious agents (B95-B97),"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
K11.7,Disturbances of salivary secretion,562,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of oral cavity and salivary glands (K00-K14),Diseases of salivary glands
I45.2,Bifascicular block,562,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Other conduction disorders
G40.409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus (CMS code)",561,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Epilepsy and recurrent seizures
A41.81,Sepsis due to Enterococcus (CMS code),560,sepsis_bacteremia,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Other bacterial diseases (A30-A49),Other sepsis
F43.0,Acute stress reaction,560,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)","Reaction to severe stress, and adjustment disorders"
D75.1,Secondary polycythemia,560,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Other disorders of blood and blood-forming organs (D70-D77),Other and unspecified diseases of blood and blood-forming organs
W18.39XA,"Other fall on same level, initial encounter",559,,ICD-10-CM,External causes of morbidity (V00-Y99),"Slipping, tripping, stumbling and falls (W00-W19)","Other slipping, tripping and stumbling and falls"
V18.2XXA,"Unspecified pedal cyclist injured in noncollision transport accident in nontraffic accident, initial encounter",559,,ICD-10-CM,External causes of morbidity (V00-Y99),Pedal cycle rider injured in transport accident (V10-V19),Pedal cycle rider injured in noncollision transport accident
N32.81,Overactive bladder,559,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Other diseases of the urinary system (N30-N39),Other disorders of bladder
T86.49,Other complications of liver transplant (CMS code),558,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)",Complications of transplanted organs and tissue
B02.29,Other postherpetic nervous system involvement,558,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Viral infections characterized by skin and mucous membrane lesions (B00-B09),Zoster [herpes zoster]
S32.010A,"Wedge compression fracture of first lumbar vertebra, initial encounter for closed fracture (CMS code)",558,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals (S30-S39)",Fracture of lumbar spine and pelvis
M79.652,Pain in left thigh,557,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Other and unspecified soft tissue disorders, not elsewhere classified"
S80.11XA,"Contusion of right lower leg, initial encounter",557,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the knee and lower leg (S80-S89),Superficial injury of knee and lower leg
Z80.41,Family history of malignant neoplasm of ovary,556,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Family history of primary malignant neoplasm
K56.2,Volvulus (CMS code),556,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Paralytic ileus and intestinal obstruction without hernia
D68.51,Activated protein C resistance,556,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Coagulation defects, purpura and other hemorrhagic conditions (D65-D69)",Other coagulation defects
F32.2,"Major depressive disorder, single episode, severe without psychotic features (CMS code)",555,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",Mood [affective] disorders (F30-F39),"Major depressive disorder, single episode"
S12.9XXA,"Fracture of neck, unspecified, initial encounter (CMS code)",555,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the neck (S10-S19),Fracture of cervical vertebra and other parts of neck
B37.2,Candidiasis of skin and nail,554,,ICD-10-CM,Certain infectious and parasitic diseases (A00-B99),Mycoses (B35-B49),Candidiasis
L89.150,"Pressure ulcer of sacral region, unstageable (CMS code)",554,,ICD-10-CM,Diseases of the skin and subcutaneous tissue (L00-L99),Other disorders of the skin and subcutaneous tissue (L80-L99),Pressure ulcer
E28.2,Polycystic ovarian syndrome,554,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Disorders of other endocrine glands (E20-E35),Ovarian dysfunction
E84.0,Cystic fibrosis with pulmonary manifestations (CMS code),554,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Metabolic disorders (E70-E88),Cystic fibrosis
K56.690,Other partial intestinal obstruction (CMS code),554,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Paralytic ileus and intestinal obstruction without hernia
N39.41,Urge incontinence,553,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Other diseases of the urinary system (N30-N39),Other disorders of urinary system
I95.3,Hypotension of hemodialysis,553,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other and unspecified disorders of the circulatory system (I95-I99),Hypotension
K75.4,Autoimmune hepatitis (CMS code),553,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of liver (K70-K77),Other inflammatory liver diseases
C95.00,Acute leukemia of unspecified cell type not having achieved remission (CMS code),553,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",Leukemia of unspecified cell type
I26.94,Multiple subsegmental thrombotic pulmonary emboli without acute cor pulmonale (CMS code),552,,ICD-10-CM,,,
K56.699,Other intestinal obstruction unspecified as to partial versus complete obstruction (CMS code),548,,ICD-10-CM,Diseases of the digestive system (K00-K95),Other diseases of intestines (K55-K64),Paralytic ileus and intestinal obstruction without hernia
N50.9,Unspecified disorder of male genital organs,548,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Diseases of male genital organs (N40-N53),Other and unspecified disorders of male genital organs
I48.21,Permanent atrial fibrillation (CMS code),546,,ICD-10-CM,,,
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung (CMS code)",546,,ICD-10-CM,Neoplasms (C00-D49),Malignant neoplasms of respiratory and intrathoracic organs (C30-C39),Malignant neoplasm of bronchus and lung
W55.01XA,"Bitten by cat, initial encounter",544,,ICD-10-CM,External causes of morbidity (V00-Y99),Exposure to animate mechanical forces (W50-W64),Contact with other mammals
Z85.43,Personal history of malignant neoplasm of ovary,544,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of malignant neoplasm
S61.451A,"Open bite of right hand, initial encounter",544,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Injuries to the wrist, hand and fingers (S60-S69)","Open wound of wrist, hand and fingers"
S42.009A,Unspecified part of closed fracture of clavicle,543,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the shoulder and upper arm (S40-S49),Fracture of shoulder and upper arm
Z48.811,Encounter for surgical aftercare following surgery on the nervous system,543,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Encounters for other specific health care (Z40-Z53),Encounter for other postprocedural aftercare
I82.403,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral (CMS code)",543,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
N49.2,Inflammatory disorders of scrotum,543,,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Diseases of male genital organs (N40-N53),"Inflammatory disorders of male genital organs, not elsewhere classified"
W21.9XXA,Striking against or struck accidentally by objects or persons in sports without subsequent fall,543,,ICD-10-CM,External causes of morbidity (V00-Y99),Exposure to inanimate mechanical forces (W20-W49),Striking against or struck by sports equipment
T88.7XXA,"Unspecified adverse effect of drug or medicament, initial encounter",543,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Other complications of surgical and medical care, not elsewhere classified"
K13.0,Diseases of lips,542,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of oral cavity and salivary glands (K00-K14),Other diseases of lip and oral mucosa
C81.90,"Hodgkin lymphoma, unspecified, unspecified site (CMS code)",542,,ICD-10-CM,Neoplasms (C00-D49),"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",Hodgkin lymphoma
Z96.643,"Presence of artificial hip joint, bilateral",541,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Presence of other functional implants
Z85.05,Personal history of malignant neoplasm of liver,541,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),Personal history of malignant neoplasm
Z68.24,"Body mass index (BMI) 24.0-24.9, adult",540,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Body mass index [BMI] (Z68),Body mass index [BMI]
T85.528A,"Displacement of other gastrointestinal prosthetic devices, implants and grafts, initial encounter",540,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Complications of surgical and medical care, not elsewhere classified (T80-T88)","Complications of other internal prosthetic devices, implants and grafts"
